feature,coefficient,abs_coefficient
Experience (Years),3.029883,3.029883
Projects Count,1.674710,1.674710
feat_job_tech,0.984411,0.984411
feat_skill_python,0.612192,0.612192
feat_job_design,0.598768,0.598768
feat_num_skills_matched,-0.544554,0.544554
feat_text_len_chars,-0.443827,0.443827
feat_skill_deep_learning,0.431454,0.431454
feat_text_len_words,0.400128,0.400128
feat_degree_phd,0.317964,0.317964
feat_degree_mba,0.276668,0.276668
feat_skill_nlp,0.257487,0.257487
feat_top_degree_level,0.184547,0.184547
feat_cert_aws,-0.153972,0.153972
feat_high_title,-0.143825,0.143825
feat_skill_machine_learning,0.137262,0.137262
feat_job_hr,0.128116,0.128116
feat_skill_sql,0.094186,0.094186
Salary Expectation ($),-0.040123,0.040123
feat_skill_power_bi,-0.019510,0.019510
feat_skill_project_management,-0.013022,0.013022
feat_cert_scrum,0.011290,0.011290
feat_skill_azure,0.011272,0.011272
feat_skill_snowflake,-0.009589,0.009589
feat_skill_tableau,0.009406,0.009406
feat_skill_numpy,0.008794,0.008794
feat_skill_docker,-0.008593,0.008593
feat_skill_pandas,-0.008530,0.008530
feat_cert_six_sigma,-0.008402,0.008402
feat_cert_cfa,-0.008245,0.008245
feat_skill_spark,0.007778,0.007778
feat_skill_excel,0.007505,0.007505
feat_cert_azure,0.007433,0.007433
feat_num_promotions,-0.006655,0.006655
feat_cert_cpa,0.006506,0.006506
feat_cert_pmp,0.006160,0.006160
feat_cert_gcp,0.005432,0.005432
feat_job_sales,0.005323,0.005323
feat_skill_gcp,0.004675,0.004675
feat_job_operations,0.004308,0.004308
feat_job_finance,0.004127,0.004127
feat_job_product,-0.004064,0.004064
feat_skill_kubernetes,0.003688,0.003688
feat_job_marketing,0.003654,0.003654
feat_years_experience_extracted,0.002322,0.002322
feat_degree_master,-0.001849,0.001849
feat_has_metrics,0.001167,0.001167
feat_cert_csm,-0.001139,0.001139
feat_skill_aws,0.000660,0.000660
feat_degree_bachelor,-0.000499,0.000499
