feature,coefficient,abs_coefficient
Projects Count,2.389136,2.389136
feat_years_experience_extracted,1.988196,1.988196
Experience (Years),1.986550,1.986550
feat_text_len_words,0.877992,0.877992
feat_high_title,0.264806,0.264806
feat_text_len_chars,0.164804,0.164804
feat_skill_machine_learning,-0.144965,0.144965
feat_top_degree_level,0.128881,0.128881
feat_skill_python,0.123379,0.123379
feat_degree_phd,0.122684,0.122684
feat_skill_aws,0.093014,0.093014
feat_cert_aws,0.084216,0.084216
Salary Expectation ($),0.056198,0.056198
feat_skill_nlp,-0.038049,0.038049
feat_degree_mba,0.032745,0.032745
feat_num_skills_matched,0.029527,0.029527
feat_job_hr,0.021416,0.021416
feat_skill_power_bi,-0.019510,0.019510
feat_skill_project_management,-0.013022,0.013022
feat_skill_sql,-0.012687,0.012687
feat_cert_scrum,0.011290,0.011290
feat_skill_azure,0.011272,0.011272
feat_skill_snowflake,-0.009589,0.009589
feat_skill_tableau,0.009406,0.009406
feat_skill_numpy,0.008794,0.008794
feat_skill_docker,-0.008593,0.008593
feat_skill_pandas,-0.008530,0.008530
feat_cert_six_sigma,-0.008402,0.008402
feat_cert_cfa,-0.008245,0.008245
feat_skill_spark,0.007778,0.007778
feat_skill_excel,0.007505,0.007505
feat_cert_azure,0.007433,0.007433
feat_num_bullets,0.006789,0.006789
feat_num_promotions,-0.006655,0.006655
feat_cert_cpa,0.006506,0.006506
feat_cert_pmp,0.006160,0.006160
feat_cert_gcp,0.005432,0.005432
feat_job_sales,0.005323,0.005323
feat_job_design,-0.005122,0.005122
feat_skill_gcp,0.004675,0.004675
feat_job_operations,0.004308,0.004308
feat_job_finance,0.004127,0.004127
feat_job_product,-0.004064,0.004064
feat_skill_kubernetes,0.003688,0.003688
feat_job_marketing,0.003654,0.003654
feat_job_tech,-0.003521,0.003521
feat_skill_deep_learning,0.002372,0.002372
feat_num_numbers,0.002187,0.002187
feat_degree_master,-0.001849,0.001849
feat_has_metrics,0.001167,0.001167
feat_cert_csm,-0.001139,0.001139
feat_degree_bachelor,-0.000499,0.000499
