feature,coefficient,abs_coefficient
ai_score_oof,2.888216,2.888216
feat_job_tech,2.043462,2.043462
Projects Count,1.771433,1.771433
feat_years_experience_extracted,1.442120,1.442120
Experience (Years),1.440474,1.440474
feat_skill_python,0.898393,0.898393
feat_num_skills_matched,-0.787969,0.787969
feat_text_len_words,0.593223,0.593223
feat_skill_sql,0.575370,0.575370
feat_degree_mba,0.568914,0.568914
feat_skill_nlp,0.547233,0.547233
feat_skill_deep_learning,0.519546,0.519546
feat_degree_phd,0.347201,0.347201
feat_text_len_chars,-0.295293,0.295293
feat_skill_aws,0.256286,0.256286
feat_cert_aws,0.247488,0.247488
feat_skill_machine_learning,-0.133225,0.133225
feat_top_degree_level,0.094107,0.094107
feat_high_title,-0.084202,0.084202
Salary Expectation ($),0.079395,0.079395
feat_job_hr,0.021416,0.021416
feat_skill_power_bi,-0.019510,0.019510
feat_skill_project_management,-0.013022,0.013022
feat_cert_scrum,0.011290,0.011290
feat_skill_azure,0.011272,0.011272
feat_skill_snowflake,-0.009589,0.009589
feat_skill_tableau,0.009406,0.009406
feat_skill_numpy,0.008794,0.008794
feat_skill_docker,-0.008593,0.008593
feat_skill_pandas,-0.008530,0.008530
feat_cert_six_sigma,-0.008402,0.008402
feat_cert_cfa,-0.008245,0.008245
feat_skill_spark,0.007778,0.007778
feat_skill_excel,0.007505,0.007505
feat_cert_azure,0.007433,0.007433
feat_num_bullets,0.006789,0.006789
feat_num_promotions,-0.006655,0.006655
feat_cert_cpa,0.006506,0.006506
feat_cert_pmp,0.006160,0.006160
feat_cert_gcp,0.005432,0.005432
feat_job_sales,0.005323,0.005323
feat_job_design,-0.005122,0.005122
feat_skill_gcp,0.004675,0.004675
feat_job_operations,0.004308,0.004308
feat_job_finance,0.004127,0.004127
feat_job_product,-0.004064,0.004064
feat_skill_kubernetes,0.003688,0.003688
feat_job_marketing,0.003654,0.003654
feat_num_numbers,0.002187,0.002187
feat_degree_master,-0.001849,0.001849
feat_has_metrics,0.001167,0.001167
feat_cert_csm,-0.001139,0.001139
feat_degree_bachelor,-0.000499,0.000499
